# This file is generated by MACS								
# ARGUMENTS LIST:								
# name = GR_Dex_Peaks								
# ChIP-seq file = signal.bed								
# control file = bg.bed								
# effective genome size = 2.70e+09								
# tag size = 25								
# band width = 300								
# model fold = 20								
# pvalue cutoff = 1.00e-10								
"# Ranges for calculating regional lambda are : 1000,5000,10000"								
# d = 67								
chr	start	end	length	summit	tags	something	fold_enrichment	FDR(%)
chr12	86358893	86359101	209	104	43	420.73	48.47	2.1
chr12	86696994	86697303	310	176	50	144.32	9.34	10.28
chr12	86728749	86728932	184	88	21	124.13	13.8	14.06
chr12	86738670	86739064	395	287	62	225.79	11.74	4.83
chr12	87185661	87185980	320	181	41	326.5	35.59	2.91
chr12	87226897	87227179	283	165	29	179.85	20.01	7.25
chr12	87228024	87228344	321	154	32	183.65	22.07	6.95
chr12	87459429	87459933	505	246	67	529.4	38.82	1.44
chr12	87465877	87466145	269	137	40	277.79	26.02	3.38
chr12	87471743	87472220	478	305	65	230.06	11.18	4.67
chr12	87670188	87670467	280	120	21	122.93	16.26	14.25
chr12	88130315	88130524	210	67	18	124.24	19.41	14.01
chr12	88270306	88271123	818	312	193	253.16	6.12	3.92
chr12	88293562	88293861	300	155	26	118.92	12.43	15.3
chr12	88307949	88308347	399	199	70	527.19	48.22	1.46
chr12	88308715	88309111	397	167	39	114.14	7.85	16.76
chr12	88332288	88332526	239	120	23	164.67	19.41	8.24
chr12	88392626	88392912	287	120	38	219.53	17.16	5.06
chr12	88419800	88420041	242	177	24	159.04	16.68	8.7
chr12	88423875	88424226	352	235	52	275.14	16.26	3.5
chr12	88424924	88425931	1008	732	397	3100	66.4	1.07
chr12	88458602	88458985	384	192	52	300.33	24.67	3.23
chr12	88687144	88687434	291	174	34	134.8	10.01	12.02
chr12	88743558	88743948	391	118	42	124.96	8.92	13.96
chr12	88865544	88866174	631	296	101	327.17	10.16	2.88
chr12	88867714	88868056	343	203	40	116.03	7.99	16.14
chr12	89009104	89009476	373	194	67	152.27	9.44	9.45
chr12	89630587	89630921	335	192	48	400.83	46.91	2.22
chr12	90736394	90736673	280	62	26	131.75	11.18	12.59
chr12	90948488	90948949	462	256	170	1788.69	99.18	0.87
chr12	90952708	90953170	463	271	107	406.69	13.94	2.15
chr12	90981535	90981935	401	300	58	330.52	20.33	2.84
chr12	90988036	90988765	730	234	155	902.45	23.95	0.86
chr12	90988856	90989346	491	297	154	505.73	11.55	1.6
chr12	90996019	90996474	456	250	88	513.55	21.68	1.52
chr12	90998348	90998758	411	242	82	477.51	26.02	1.77
chr12	91006688	91006997	310	180	53	310.15	20.7	3.16
chr12	91016868	91017301	434	265	53	251.1	17.04	3.99
chr12	91161910	91162307	398	193	50	389.41	35.59	2.3
chr12	91511597	91512442	846	262	264	214.57	4.59	5.27
chr12	91520584	91520922	339	183	60	379.28	26.02	2.33
chr12	91875007	91875389	383	184	73	544.21	36.59	1.4
chr12	92008066	92008468	403	212	60	306.18	16.26	3.21
chr12	92116018	92116458	441	173	68	277.95	15.74	3.37
chr12	92118136	92118537	402	223	140	1282.88	62.07	1.13
chr12	92442198	92442740	543	343	100	296.24	10.08	3.27
chr12	92481661	92482073	413	263	66	263.91	10.84	3.66
chr12	92629391	92629639	249	170	26	178.97	24.25	7.33
chr12	92651324	92651634	311	210	45	196.07	11.03	6.07
chr12	92660196	92660700	505	167	84	240.4	7.61	4.45
chr12	92702297	92702787	491	272	106	568.87	21.14	1.23
chr12	92703113	92703496	384	205	63	181.41	11.76	7.19
chr12	92727861	92728232	372	191	100	863.14	46.04	0.96
chr12	92731850	92732665	816	280	156	969.74	31.75	0.94
chr12	92753848	92754088	241	111	21	110.75	13.18	17.97
chr12	92872415	92873114	700	248	74	151.84	6.25	9.5
chr12	92991146	92991630	485	265	146	1362.95	67.58	1.15
chr12	93101247	93101577	331	206	32	181.6	14.14	7.15
chr12	93473676	93473881	206	120	24	144.32	14.23	10.28
chr12	93807490	93807741	252	173	33	215.62	16.26	5.25
chr12	93859399	93859757	359	177	36	137.89	13.43	11.5
chr12	93872032	93872612	581	262	182	1276.68	34.84	1.13
chr12	94001921	94002167	247	143	20	131.38	17.79	12.68
chr12	94090422	94090789	368	181	51	351.29	28.28	2.59
chr12	94119027	94119691	665	502	86	311.3	13.37	3.17
chr12	94235881	94236452	572	209	83	212.75	7.59	5.33
chr12	94244257	94244721	465	281	68	257.29	12.2	3.83
chr12	94303262	94303485	224	90	23	122.02	14.35	14.4
chr12	94680066	94680331	266	182	25	112.12	12.84	17.46
chr12	94708013	94709523	1511	1139	232	154.18	4.67	9.21
chr12	94723606	94724619	1014	374	356	778.59	8.76	0.9
chr12	94914128	94914455	328	158	47	229.37	14.23	4.74
chr12	95114674	95115058	385	208	72	369.28	24.71	2.39
chr12	96486490	96486991	502	324	103	987.65	46.91	0.91
chr12	97139225	97139568	344	206	33	193.47	13.76	6.24
chr12	97365309	97365620	312	125	32	156.03	16.26	9.06
chr12	97388897	97389438	542	380	95	559.59	25.08	1.35
chr12	97408927	97409311	385	170	55	200.79	8.87	5.77
chr12	97410465	97410739	275	151	22	105.73	10.7	19.93
chr12	98835954	98836340	387	159	97	805.1	40.65	0.92
chr12	99344623	99345022	400	153	32	197.77	19.41	5.92
chr12	100377694	100378105	412	216	84	458.8	19.75	1.84
chr12	100440849	100441380	532	324	63	338.24	19.13	2.79
chr12	100522124	100522402	279	164	23	150.08	22.65	9.71
chr12	100526236	100526668	433	258	85	619.28	36.35	1.11
chr12	100526687	100526946	260	116	37	209.41	21.14	5.47
chr12	100533912	100534397	486	270	136	1244.9	57.45	1.09
chr12	100780850	100781100	251	127	19	103.86	14.31	20.84
chr12	101451883	101452282	400	208	59	342.81	20.54	2.74
chr12	101536386	101536701	316	144	24	104.57	13.21	20.54
chr12	101821583	101821884	302	127	41	230.74	20.54	4.67
chr12	102478457	102479028	572	214	94	165.96	7.14	8.14
chr12	102479272	102479698	427	258	41	118.04	8.53	15.59
chr12	102766758	102767114	357	197	44	270.44	18.43	3.57
chr12	102769047	102769455	409	220	79	679.49	45.32	1.01
chr12	102776786	102777436	651	359	244	1689.02	39.22	0.91
chr12	103085434	103085690	257	141	28	133.83	17.07	12.16
chr12	103095319	103096338	1020	252	273	651.62	8.52	1
chr12	103098307	103098716	410	152	47	120.96	7.03	14.67
chr12	103125422	103125771	350	180	41	154.12	12.05	9.23
chr12	103137186	103138412	1227	276	349	1808.06	23.58	0.74
chr12	103258899	103259179	281	126	57	211.2	11.31	5.47
chr12	103326506	103326927	422	181	60	162.89	6.43	8.35
chr12	103589619	103590093	475	177	160	247.82	6.6	4.19
chr12	103653951	103654315	365	217	56	212.37	16.26	5.37
chr12	103856330	103856661	332	180	37	227.91	28.28	4.75
chr12	103871220	103871644	425	282	66	301.03	12.42	3.22
chr12	103887499	103887777	279	141	21	115.97	18.97	16.16
chr12	104025006	104026184	1179	220	317	197.13	5.16	6
chr12	104150927	104151276	350	136	44	161.44	11.02	8.46
chr12	104196213	104196598	386	213	36	123.28	8.81	14.21
chr12	104199004	104199517	514	251	193	1493.75	49.94	1.14
chr12	104210615	104210938	324	137	42	228.36	20.54	4.73
chr12	104403209	104403506	298	160	36	218.1	22.17	5.13
chr12	104577691	104577933	243	121	26	118.86	10.07	15.31
chr12	104594674	104594868	195	98	19	107.16	12.67	19.3
chr12	104850083	104850376	294	123	29	103.76	9.11	20.89
chr12	104878195	104878585	391	180	66	158.28	8.71	8.81
chr12	105038384	105038936	553	275	165	451.64	12.05	1.86
chr12	105041356	105041889	534	233	108	487.6	11.09	1.7
chr12	105684267	105684673	407	215	50	220.45	14.02	4.99
chr12	105711643	105711932	290	152	29	140.18	14.45	10.98
chr12	105812936	105813244	309	142	30	118.81	10.35	15.33
chr12	105941228	105941503	276	147	20	122.36	19.41	14.36
chr12	105976102	105976323	222	64	18	114.82	21.08	16.56
chr12	106132415	106132714	300	130	30	127.15	13.94	13.43
chr12	106143453	106143915	463	173	64	192.79	8.13	6.29
chr12	106262214	106262739	526	312	134	651.64	20.73	1
chr12	106266630	106267483	854	269	709	3100	33.97	1.07
chr12	106267723	106268044	322	182	57	260.74	18.01	3.78
chr12	106269899	106270639	741	305	562	3100	36.01	1.07
chr12	106297504	106298555	1052	486	186	352.43	8.38	2.58
chr12	106398475	106399034	560	163	61	275.98	14.1	3.46
chr12	106433414	106433744	331	167	46	176.32	11.54	7.44
chr12	107220303	107220726	424	189	88	485.74	19.16	1.69
chr12	107548814	107549154	341	191	65	309.7	19.82	3.15
chr12	107552319	107552679	361	153	39	122.13	9.76	14.39
chr12	107561800	107562124	325	161	57	268.41	19.92	3.58
chr12	107609427	107610180	754	332	189	251.56	7.64	3.98
chr12	107686508	107687103	596	369	383	1545.18	17.32	1.1
chr12	107691551	107692185	635	300	319	1814.24	26.23	0.74
chr12	107733957	107734381	425	185	66	279.07	16.75	3.38
chr12	107756171	107756641	471	281	105	122.16	5.81	14.38
chr12	107772369	107772853	485	161	65	111.8	6.1	17.54
chr12	108009467	108009881	415	219	69	401.59	27.74	2.18
chr12	108033059	108033836	778	433	476	1777.69	14.08	0.86
chr12	108037905	108038398	494	281	125	745.59	29.37	0.89
chr12	108114167	108114869	703	514	161	621.14	18.34	1.12
chr12	108119520	108119967	448	274	94	290.5	10.35	3.29
chr12	108122229	108122490	262	87	26	115.31	12.07	16.38
chr12	108127830	108128146	317	199	90	733.99	39.42	0.92
chr12	108200242	108200655	414	242	106	575.56	26.02	1.21
chr12	108741110	108741544	435	172	60	161.57	8.9	8.47
chr12	108745157	108745644	488	326	184	1033.97	19.31	0.96
chr12	108786478	108786889	412	233	65	250.23	10.52	4.07
chr12	108960999	108961893	895	722	214	602.46	8.87	1.11
chr12	108987894	108988238	345	160	33	127.37	13.3	13.39
chr12	109029928	109030359	432	243	110	167.08	7.32	8.05
chr12	109030997	109032059	1063	419	306	235.91	4.8	4.6
chr12	109039010	109039275	266	136	27	130.37	10.55	12.89
chr12	109169177	109170259	1083	788	629	944.81	6.73	0.91
chr12	109172559	109173194	636	443	102	232.87	11.49	4.63
chr12	109175340	109175731	392	233	116	731.06	26.76	0.91
chr12	109191668	109192166	499	265	107	173.86	7.23	7.52
chr12	109192335	109193070	736	264	316	1588.42	21.94	1.16
chr12	109465667	109466200	534	236	269	2958.2	95.65	1.4
chr12	109467490	109467887	398	252	73	439.84	17.74	1.98
chr12	109815183	109815544	362	137	40	171.96	10.35	7.68
chr12	109839694	109840099	406	181	99	566.67	22.03	1.25
chr12	109843438	109843992	555	275	65	136.03	6.05	11.82
chr12	109856654	109857009	356	215	54	266.6	15.14	3.6
chr12	109985501	109986398	898	627	179	496.57	12.78	1.68
chr12	109989640	109990211	572	278	340	3100	84.84	1.07
chr12	109999111	109999546	436	92	54	155.11	7.23	9.14
chr12	110170282	110170847	566	151	83	276.96	10.84	3.4
chr12	110503523	110503938	416	253	53	225.16	13.66	4.85
chr12	110696006	110696716	711	220	117	367.89	9.29	2.44
chr12	110697755	110698374	620	328	91	211.92	6.33	5.42
chr12	110729457	110729762	306	217	30	136.09	10.27	11.82
chr12	110741641	110741894	254	118	20	102.68	12.78	21.54
chr12	111174396	111174699	304	167	61	471.19	38.62	1.74
chr12	111189258	111189547	290	135	32	239.59	24.26	4.47
chr12	111344591	111345172	582	189	93	300.5	12.13	3.23
chr12	111388345	111388661	317	166	30	132.14	15.4	12.44
chr12	111755482	111755850	369	266	38	109.13	7.34	18.54
chr12	111758927	111759222	296	187	32	150.25	14.71	9.66
chr12	111761488	111761915	428	165	86	349.86	14.63	2.6
chr12	111772560	111772884	325	146	61	372.07	21.05	2.37
chr12	111855075	111855407	333	186	39	120.21	9.36	14.91
chr12	111858442	111858805	364	155	93	626.76	27.75	1.03
chr12	112137097	112137386	290	159	31	133.16	8.13	12.25
chr12	112167938	112169108	1171	591	260	871.12	15.32	0.98
chr12	112335700	112336278	579	282	290	2448.94	50.19	1.14
chr12	112340003	112340990	988	306	394	1576.57	13.3	1.14
chr12	112649868	112650278	411	146	56	211.02	12.3	5.47
chr12	112688164	112688472	309	121	45	153.1	11.93	9.34
chr12	113533705	113534098	394	133	49	147.4	10.22	9.99
chr12	113534274	113534725	452	232	109	631	30.35	1.03
chr12	113578062	113578884	823	338	538	2935.4	21.43	1.35
chr12	113580453	113580786	334	187	40	130.97	11.25	12.73
chr12	113584675	113585161	487	166	70	206.53	6.91	5.58
chr12	113765163	113765531	369	197	53	330.11	24.2	2.84
chr12	113770891	113771245	355	180	35	137.95	14.04	11.47
chr12	113836121	113837013	893	710	171	849.11	14.58	0.95
chr12	113840920	113841393	474	298	70	166.95	7.3	8.07
chr12	113855591	113856397	807	238	149	347.36	10.84	2.64
chr12	113926997	113927331	335	185	60	427.01	38.2	2.04
chr12	114541549	114541801	253	178	30	114.36	13.36	16.66
chr12	114582631	114582912	282	128	30	201.66	24.8	5.73
chr12	114713472	114713859	388	226	51	310.34	25.41	3.16
chr12	114739538	114740107	570	327	388	3132.98	45.95	0
chr12	114741973	114742276	304	168	27	108.11	12.88	18.95
chr12	114745816	114746332	517	257	160	1370.12	58.2	1.16
chr12	114752275	114752647	373	233	47	214.19	13.43	5.28
chr12	114752879	114753190	312	181	31	119.88	7.07	15.05
chr12	114757615	114757999	385	136	146	1079.49	35.03	1.01
chr12	114760210	114760694	485	198	99	262.42	10.93	3.7
chr12	114762145	114762962	818	383	597	2619.65	16	1.03
chr12	114780138	114780580	443	185	138	1011.82	37.52	0.93
chr12	114870524	114870979	456	237	50	193.61	10.84	6.23
chr12	114925435	114925633	199	65	19	132.26	14.92	12.43
chr12	114984912	114985291	380	189	41	202.97	16.26	5.71
chr12	115034737	115035077	341	190	44	350.12	38.82	2.6
chr12	115043837	115044181	345	174	48	319.05	28.57	3.01
chr12	115140572	115140751	180	114	17	115.08	19.63	16.48
chr12	115179431	115179747	317	172	29	124.62	11.13	13.98
chr12	115281006	115281707	702	416	94	164.87	6.02	8.24
chr12	115290574	115291085	512	271	159	180.67	7.34	7.22
chr12	115298606	115299402	797	604	300	1246.12	22.07	1.09
chr12	115307799	115308398	600	226	148	635.38	16.62	1.04
chr12	115311602	115311973	372	226	93	602.85	22.88	1.11
chr12	115328699	115329165	467	239	110	229.58	10.65	4.7
chr12	115348361	115349017	657	277	378	2065.82	24.72	0.94
chr12	115377608	115378162	555	235	144	600.61	18.25	1.11
chr12	115417487	115417820	334	193	33	115.28	10.97	16.4
chr12	115531821	115532171	351	185	56	267.66	18.67	3.57
chr12	115559035	115559429	395	258	40	111.91	6.82	17.52
chr12	115778026	115778659	634	406	141	937.14	36.96	0.9
chr12	116001751	116001964	214	130	39	270.35	21.97	3.57
chr12	116052272	116052738	467	154	78	269.3	9.81	3.56
chr12	116065112	116065964	853	352	376	391.55	6.17	2.29
chr12	116253877	116254352	476	283	56	234.16	14.59	4.63
chr12	116408140	116408744	605	377	149	432.01	9.47	2.03
chr12	116409378	116409954	577	280	208	306.97	8.86	3.21
chr12	116440994	116441492	499	255	123	808.15	33.17	0.93
chr12	116455856	116456361	506	196	98	486.95	21.14	1.7
chr12	116608990	116609588	599	134	76	103.39	4.88	21.14
chr12	116725239	116725599	361	185	104	1000.55	62.72	0.92
chr12	116775814	116776266	453	165	53	157.79	10.84	8.87
chr12	116945603	116945879	277	147	29	162.09	13.64	8.44
chr12	117298340	117299059	720	227	392	108.89	3.52	18.63
chr12	118098525	118098926	402	227	54	109.98	7.01	18.22
chr12	118106532	118106841	310	131	34	177.86	16.82	7.39
chr12	118638669	118639179	511	303	173	1623.63	73.65	1.09
chr12	118977433	118977781	349	219	51	345.04	26.02	2.68
chr12	118977836	118978208	373	175	55	394.27	28.7	2.26
chr12	119001856	119002211	356	182	49	223.47	18.21	4.87
chr12	119064511	119064963	453	105	44	120.39	9.76	14.84
chr12	119153538	119154134	597	195	102	199.2	7.11	5.83
chr12	119156916	119157498	583	352	144	239.26	7.41	4.51
chr12	119159490	119160024	535	287	188	870.93	16.54	0.98
chr12	119167188	119167628	441	106	45	103.88	5.42	20.82
chr12	119171901	119172355	455	209	71	261.68	9.76	3.73
chr12	119184373	119185241	869	552	172	652.12	16.93	1.01
chr12	119243536	119243957	422	244	56	245.3	13.01	4.24
chr12	119274603	119274844	242	162	29	105.02	10.84	20.36
chr12	119402419	119402796	378	189	99	712	31.81	0.99
chr12	119513188	119513563	376	212	43	186.19	15.97	6.79
chr12	119599959	119600354	396	254	33	128.41	9.41	13.19
chr12	119638730	119639025	296	124	37	177.36	16.26	7.44
chr12	119876063	119876397	335	162	31	141.6	16.54	10.77
chr12	119881376	119881817	442	229	70	191.76	8.65	6.35
chr12	119906520	119906994	475	198	121	113.65	6.39	16.96
chr12	119999185	119999630	446	377	42	272.11	18.41	3.53
chr12	120642338	120642681	344	199	76	484.33	28.22	1.69
chr12	120670352	120671596	1245	669	706	1365.06	9.01	1.15
chr12	120781510	120781839	330	213	46	171.62	9.65	7.72
chr12	120782377	120783011	635	196	155	771.09	24.61	0.93
chr12	120958706	120959086	381	201	67	340.32	21	2.81
chr12	120994689	120995270	582	365	220	1075.53	27.48	1.01
chr12	121466616	121466908	293	156	26	129.1	18.64	13.06
chr12	121475537	121475875	339	150	43	131.59	11.42	12.65
chr12	121779373	121779663	291	173	42	200.25	16.13	5.79
chr12	121881305	121881752	448	194	233	1952	43.36	0.87
chr12	121938786	121939240	455	202	75	254.88	14.63	3.89
chr12	121994997	121995552	556	362	139	404.27	11.96	2.13
chr12	122069471	122069787	317	151	27	102.12	10.26	21.82
chr12	122085308	122085743	436	124	57	246.24	11.06	4.26
chr12	122133133	122133516	384	135	56	210.64	11.47	5.47
chr12	122136267	122136668	402	183	65	183.57	11.42	6.95
chr12	122192118	122192734	617	232	89	180.74	7.67	7.23
chr12	122199626	122200046	421	179	135	640.04	17.51	0.98
chr12	122422932	122423247	316	122	47	217.78	14.06	5.13
chr12	122425121	122425483	363	181	38	144.73	11.52	10.25
chr12	122448910	122449267	358	237	45	114.92	6.74	16.54
chr12	122569758	122570201	444	226	58	186.89	12.43	6.75
chr12	123061256	123061563	308	147	34	188.97	16.16	6.59
chr12	123181167	123181530	364	134	73	182.36	8.13	7.06
chr12	123419433	123420981	1549	844	1156	1494.16	5.92	1.15
chr12	123432145	123432896	752	306	220	180.88	4.8	7.22
chr12	123443325	123444070	746	373	267	345.88	5.72	2.67
chr12	123445712	123446402	691	364	236	496.42	7.58	1.68
chr12	123461070	123461475	406	273	68	207.04	8.6	5.54
chr12	123472696	123474122	1427	1075	547	293.18	5.66	3.28
chr12	123501940	123502344	405	269	79	252.78	9.76	3.93
chr12	123531102	123532291	1190	1044	172	179.6	5.65	7.28
chr12	123540448	123540785	338	150	40	101.75	8.71	22.04
chr12	123560162	123561176	1015	304	253	967.52	22.96	0.94
chr12	123624498	123625162	665	372	275	1945.86	45.62	0.86
chr12	123654897	123655366	470	238	94	211.95	10.28	5.41
chr12	123659426	123660131	706	274	328	1422.76	18.05	1.14
chr12	123771142	123771744	603	360	150	580.55	17.85	1.16
chr12	123773422	123773712	291	134	69	397.07	20.72	2.23
chr12	123796251	123797006	756	211	471	471.45	5.83	1.74
chr12	123805509	123806134	626	445	136	662.74	20.09	0.99
chr12	123858045	123858498	454	197	161	1125.96	44.72	1.07
chr12	123866950	123867568	619	174	177	882.88	30.25	0.9
chr12	123878729	123880229	1501	1322	209	114.63	4.29	16.59
chr12	123888543	123889257	715	317	163	152.43	4.33	9.43
chr12	123955011	123955598	588	409	318	1361.4	18.44	1.15
chr12	123964430	123965924	1495	1043	521	206.97	6	5.56
chr12	123967511	123968191	681	240	275	522.4	8.84	1.47
chr12	123974572	123975212	641	262	114	245.11	7.61	4.25
chr12	123978609	123979325	717	319	524	1915.13	13.85	0.83
chr12	124130185	124130806	622	470	136	885.77	24.68	0.85
chr12	124172266	124172587	322	135	44	143.73	10.84	10.36
chr12	124858653	124858813	161	106	22	128.15	17.07	13.26
chr12	126173364	126173647	284	173	26	167.88	19.04	7.98
chr12	126176275	126177084	810	386	297	1957	30.71	0.87
chr12	126216237	126217058	822	262	542	1101.54	8.91	1.04
chr12	130121052	130121649	598	298	72	292.25	12.05	3.28
chr12	130162489	130162757	269	175	38	200.76	17.9	5.77
chr12	130163180	130163564	385	153	56	289.6	14.65	3.28
chr12	130183880	130184332	453	223	52	109.93	6.49	18.22
chr12	130284988	130285905	918	550	371	163.75	5.81	8.28
chr12	130318622	130318980	359	187	65	207.63	14.15	5.51
chr12	130328922	130329399	478	208	64	147.01	7.07	10.03
chr12	130339707	130340035	329	177	39	100.39	6.67	22.66
chr12	130911002	130911975	974	411	495	262.52	5.29	3.7
chr12	130946349	130947548	1200	826	336	215.24	8.13	5.26
chr12	130961070	130961551	482	277	84	155.3	8.56	9.14
chr12	130971278	130971835	558	326	89	132.84	5.27	12.3
chr12	131045564	131046004	441	273	73	315.95	11.02	3.07
chr12	131203909	131204702	794	349	153	175.05	5.76	7.52
chr12	131229217	131229693	477	271	82	103.78	4.84	20.88
chr12	131557570	131558129	560	260	182	1231.72	33.68	1.07
chr12	131559098	131560139	1042	564	398	2696.45	43.39	1.09
chr12	131560244	131561034	791	526	201	707.79	14.83	0.99
chr12	131579632	131581304	1673	727	790	3100	39.12	1.07
chr12	131591808	131592392	585	253	163	695.8	19.45	0.96
chr12	131607543	131608825	1283	1029	317	1000.88	17.33	0.92
chr12	131610850	131611476	627	437	207	489.8	7.28	1.71
chr12	131615094	131615648	555	344	95	240.01	7.93	4.44
chr12	131827298	131827711	414	187	114	781.46	39.25	0.9
chr12	131927232	131927570	339	155	49	167.77	10.39	7.98
chr13	18152618	18152920	303	159	33	132.47	12.2	12.36
chr13	18280942	18282142	1201	169	206	344.98	5.66	2.68
chr13	18301705	18301952	248	135	28	112.65	12.16	17.28
chr13	18316178	18316510	333	176	32	127.71	12.16	13.34
chr13	18337274	18337517	244	88	20	123.58	20.33	14.15
chr13	18650398	18650752	355	185	36	114.57	9.87	16.59
chr13	18816705	18816919	215	128	18	122.49	21.03	14.34
chr13	19068981	19069406	426	254	59	135.07	8.81	11.96
chr13	19574124	19574446	323	172	29	173.81	21.68	7.53
chr13	19829839	19830088	250	85	29	196.18	26.68	6.07
chr13	19891790	19892549	760	493	112	237.02	7.19	4.55
chr13	20505563	20505934	372	202	76	642.7	44.9	0.99
chr13	20648219	20649293	1075	206	243	142.59	7.11	10.59
chr13	20849232	20849704	473	261	121	128.97	5.01	13.08
chr13	22285096	22285315	220	111	16	101.54	14.56	22.11
chr13	22286353	22286518	166	106	19	153.15	19.41	9.33
chr13	22819798	22820090	293	139	30	216.61	21.03	5.18
chr13	22820702	22820928	227	86	17	108.86	14.56	18.63
chr13	22899426	22899808	383	83	38	213.98	12.78	5.27
chr13	23226775	23227128	354	170	45	281.67	22.77	3.38
chr13	23332086	23332379	294	170	29	151.76	16.26	9.5
chr13	23544487	23544702	216	104	16	102.74	17.79	21.5
chr13	23620780	23621272	493	323	72	279.21	10.49	3.38
chr13	23674385	23674646	262	151	77	803.9	58.27	0.92
chr13	23800281	23800779	499	321	50	139.88	9.21	11.05
chr13	23974601	23975232	632	458	100	537.61	22.91	1.41
chr13	23975474	23975728	255	124	20	105.21	13.25	20.24
chr13	23984216	23985102	887	704	154	248.88	5.87	4.07
chr13	24474416	24474822	407	184	53	419.32	45.29	2.09
chr13	24490023	24491250	1228	674	290	262.83	4.32	3.69
chr13	26931637	26932102	466	106	83	256.6	9.69	3.84
chr13	27323171	27323580	410	181	43	290.34	28.09	3.29
chr13	27579554	27579865	312	169	28	136.94	19.31	11.7
chr13	28004865	28005142	278	136	46	223.09	15.1	4.89
chr13	28130991	28131510	520	138	112	193.18	6.73	6.24
chr13	29224355	29224696	342	187	31	207.76	24.26	5.51
chr13	29282550	29282814	265	117	21	135.21	16.18	11.95
chr13	29378938	29379184	247	74	27	175.74	21.26	7.48
chr13	29382131	29382725	595	448	77	517	22.51	1.54
chr13	29396004	29396632	629	333	125	182.74	6.1	7.02
chr13	29597734	29598266	533	386	121	915.23	33.42	0.87
chr13	29812608	29812873	266	144	25	171.43	23.45	7.74
chr13	30185286	30185698	413	225	79	487.37	23.65	1.7
chr13	30215373	30216235	863	270	389	3100	39.75	1.07
chr13	30216481	30216844	364	192	57	302.83	23.33	3.23
chr13	30517951	30518246	296	178	28	130.03	12.65	12.92
chr13	30565108	30565481	374	173	45	344.61	32.35	2.7
chr13	31454659	31454927	269	125	20	124.43	17.79	13.99
chr13	32456887	32457500	614	275	141	841.01	21.68	0.98
chr13	32562893	32563214	322	141	29	194.83	30.73	6.16
chr13	32592057	32592312	256	113	21	138.17	16.18	11.42
chr13	32598067	32598641	575	197	117	719.63	31.81	0.97
chr13	32751522	32751823	302	188	106	1107.44	59.24	1.05
chr13	32751985	32752450	466	177	70	368.31	21.43	2.44
chr13	32784249	32784580	332	152	31	211.5	25.88	5.43
chr13	33114741	33115251	511	110	59	197.02	9.53	6
chr13	33115363	33115818	456	147	48	123.12	6.7	14.21
chr13	33629006	33629496	491	326	119	393	12.13	2.27
chr13	33634268	33634503	236	124	22	104.37	9.94	20.58
chr13	33673588	33673854	267	93	32	145.25	13.43	10.18
chr13	33807791	33808030	240	122	20	124.92	15.97	13.96
chr13	33821520	33821789	270	142	22	114.26	13.94	16.69
chr13	33831292	33831598	307	111	42	326.57	36.3	2.92
chr13	33843607	33844164	558	400	105	123.61	6.57	14.15
chr13	33884150	33884380	231	72	21	147.03	16.18	10.03
chr13	38482567	38482764	198	105	18	128.64	21.03	13.15
chr13	39585816	39586097	282	114	24	143.4	15.16	10.43
chr13	39586794	39587031	238	82	30	214.4	29.68	5.27
chr13	39588139	39588585	447	250	98	559.42	27.88	1.35
chr13	39603415	39603671	257	104	22	147.72	17.79	9.97
chr13	39647653	39648026	374	148	69	639	45.29	0.98
chr13	39653647	39653949	303	65	29	191.39	19.22	6.4
chr13	39693516	39693775	260	135	28	209.31	24.26	5.46
chr13	39708115	39708786	672	420	365	3100	112.87	1.07
chr13	39708900	39709203	304	175	54	422.21	33.68	2.06
chr13	39739580	39739796	217	99	22	163.09	25.88	8.33
chr13	39744562	39744941	380	187	38	219.47	17.93	5.07
chr13	39824398	39824809	412	213	105	1062.27	66.52	0.99
chr13	39874529	39874863	335	191	70	257.54	13.15	3.84
chr13	39878801	39879256	456	260	65	441.9	25.19	1.92
chr13	39950100	39950357	258	174	49	398.67	33.68	2.24
chr13	39976061	39976507	447	208	63	218.05	9.09	5.13
chr13	40489321	40489556	236	122	30	243.53	33.97	4.32
chr13	40532122	40532744	623	208	281	1355.73	25.09	1.14
chr13	40756911	40757342	432	128	41	134.99	7.81	11.97
chr13	41019505	41019852	348	223	60	398.23	31.62	2.24
chr13	41082426	41082930	505	269	186	1722.78	60.76	0.81
chr13	41112232	41112517	286	130	24	140.45	20.33	10.99
chr13	41117600	41117798	199	66	18	128.26	17.79	13.25
chr13	41120480	41120785	306	159	28	170.56	16.26	7.77
chr13	41167080	41167380	301	147	51	337.99	27.1	2.79
chr13	41168666	41169204	539	376	67	486.9	26.61	1.7
chr13	41192847	41193351	505	197	105	1012.18	67.94	0.94
chr13	41252859	41253251	393	218	40	281.22	30.73	3.38
chr13	41253453	41253764	312	160	34	251.56	37.2	3.98
chr13	41254253	41254464	212	109	17	113.64	21.03	16.96
chr13	41299934	41300228	295	184	33	236.09	20.7	4.6
chr13	41391398	41391799	402	195	77	414.49	24.69	2.1
chr13	41438838	41439076	239	114	17	105.29	14.56	20.18
chr13	41521306	41521909	604	416	107	295.21	11.48	3.29
chr13	41582807	41583129	323	157	29	194.46	32.35	6.17
chr13	42192608	42192974	367	143	68	605.69	42.87	1.12
chr13	42476949	42477524	576	220	174	1933.85	127.79	0.84
