TargetID,Cushings.Delta Beta,GENOME_BUILD,CHR,MAPINFO,PROBE_SNPS,PROBE_SNPS_10,UCSC_REFGENE_NAME,UCSC_REFGENE_GROUP
cg20161227,-0.2172661,37,6,31980836,,,STK19,TSS1500
cg20592836,-0.3721215,37,20,33292126,,,TP53INP2,TSS200
cg21388339,-0.33728,37,1,3606550,,rs3765725,TP73,TSS1500
cg03187614,0.2062085,37,6,30127322,,,TRIM10,Body
cg08561079,0.203196,37,11,89610012,,,TRIM64B,TSS1500
cg19933311,0.2202879,37,X,111158281,,,TRPC5,Body
cg10146330,-0.3056748,37,22,50482250,,,TTLL8,Body
cg10799208,-0.2693499,37,Y,22681436,,,TTTY10,TSS1500
cg13365400,-0.2742358,37,Y,27210334,,,TTTY4B,Body
cg13365400,-0.2742358,37,Y,27210334,,,TTTY4C,Body
cg13365400,-0.2742358,37,Y,27210334,,,TTTY4,Body
cg15408512,-0.2588688,37,10,135105487,,,TUBGCP2,Body
cg15775217,0.2451352,37,12,104676774,,rs71468208,TXNRD1,Body
cg14859874,0.4528516,37,1,154238265,rs75103809,rs2307621,UBAP2L,Body
cg10989317,-0.3427902,37,10,99278449,,,UBTD1,Body
cg18828306,0.2032247,37,11,17555864,,,USH1C,Body
cg15365500,-0.394674,37,6,149356915,,rs4897076,UST,Body
cg00512739,0.2470698,37,5,133337610,,rs4958205,VDAC1,5'UTR
cg17002719,-0.2865384,37,7,12444013,,rs6968600,VWDE,TSS200
cg04244493,0.2088504,37,14,100828625,,rs61990729,WARS,Body
cg01591343,0.2831796,37,6,169857450,,,WDR27,3'UTR
cg02623234,0.2027442,37,7,158712251,,,WDR60,Body
cg00817464,0.2187766,37,10,111662876,,,XPNPEP1,Body
cg16051083,0.287639,37,6,157825146,,,ZDHHC14,Body
cg26995506,0.2803142,37,2,145226929,,rs76639551,ZEB2,Body
cg27160931,0.2340738,37,4,2310709,rs7697464,rs28769084,ZFYVE28,Body
cg23499373,0.3308751,37,19,58578578,rs61732966,rs2229375,ZNF135,Body
cg00871204,0.3911992,37,17,15620678,,rs58734516,ZNF286A,3'UTR
cg19504860,0.2542752,37,19,21512191,rs75175775,rs62107534,ZNF708,1stExon
cg06587249,-0.2788177,37,19,57109049,,rs73934484,ZNF71,5'UTR
cg07878625,-0.2016848,37,7,148977647,,rs10248661,ZNF783,Body
