"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","experiment.time","id","values","Dexamethasone","Treatment"
"137",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Grip Strength (4 Paw)","2015-04-07","fed",NA,34130,"2340,2350,2730,2750,2210",FALSE,"Water"
"138",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Body Weight","2015-04-14","fed",NA,34150,"27200",FALSE,"Water"
"139",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Grip Strength (4 Paw)","2015-04-14","fed",NA,34195,"2120,3030,2660,2370,2540",FALSE,"Water"
"140",184,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Plasma Glucose","2015-04-15","fasted","14:30:00",34219,"139,85,73,49,56,27,24,25,33",FALSE,"Water"
"141",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Total Fat Mass","2015-04-14","fed",NA,34535,"3200",FALSE,"Water"
"142",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Lean Mass","2015-04-14","fed",NA,34536,"23100",FALSE,"Water"
"143",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Total Fat Mass","2015-04-07","fed","15:15:00",34748,"2890",FALSE,"Water"
"144",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Lean Mass","2015-04-07","fed","15:15:00",34749,"23170",FALSE,"Water"
"145",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Body Weight","2015-04-21","fed",NA,36512,"27300",FALSE,"Water"
"146",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Total Fat Mass","2015-04-21","fed",NA,36540,"3300",FALSE,"Water"
"147",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3039,191,8074,"C57BL/6J","Lean Mass","2015-04-21","fed",NA,36541,"23580",FALSE,"Water"
"148",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Body Weight","2015-03-11","fed","13:30:00",29270,"30500",FALSE,"Water"
"149",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Grip Strength (4 Paw)","2015-03-11","fed","13:30:00",29360,"2830,2850,2570,3250,2480",FALSE,"Water"
"150",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Total Fat Mass","2015-03-11","fed","13:30:00",29517,"1750",FALSE,"Water"
"151",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Lean Mass","2015-03-11","fed","13:30:00",29519,"27950",FALSE,"Water"
"152",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Grip Strength (4 Paw)","2015-03-17","fed","12:00:00",29987,"2080,2310,1830,1560,2700",FALSE,"Water"
"153",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Total Fat Mass","2015-03-17","fed","12:00:00",30072,"1360",FALSE,"Water"
"154",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Lean Mass","2015-03-17","fed","12:00:00",30073,"27440",FALSE,"Water"
"155",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Body Weight","2015-03-17","fed","12:00:00",30114,"29500",FALSE,"Water"
"156",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Body Weight","2015-03-24","fed","15:30:00",31251,"30800",FALSE,"Water"
"157",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Total Fat Mass","2015-03-24","fed","15:30:00",31305,"1500",FALSE,"Water"
"158",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Lean Mass","2015-03-24","fed","15:30:00",31306,"28580",FALSE,"Water"
"159",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Grip Strength (4 Paw)","2015-03-24","fed","15:30:00",31353,"2580,2250,2120,1250,2260",FALSE,"Water"
"160",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Body Weight","2015-03-31","fed","15:30:00",32241,"31000",FALSE,"Water"
"161",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Grip Strength (4 Paw)","2015-03-31","fed","15:30:00",32269,"3430,3160,3090,3140,2930",FALSE,"Water"
"162",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Total Fat Mass","2015-03-31","fed","15:30:00",32292,"1620",FALSE,"Water"
"163",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Lean Mass","2015-03-31","fed","15:30:00",32293,"28670",FALSE,"Water"
"164",177,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Plasma Glucose","2015-04-08","fasted","14:30:00",33715,"114,99,78,67,61,63,54,54,0",FALSE,"Water"
"165",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Body Weight","2015-04-07","fed",NA,34103,"31200",FALSE,"Water"
"166",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Grip Strength (4 Paw)","2015-04-07","fed",NA,34131,"2870,2810,3020,2730,2300",FALSE,"Water"
"167",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Body Weight","2015-04-14","fed",NA,34151,"31200",FALSE,"Water"
"168",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Grip Strength (4 Paw)","2015-04-14","fed",NA,34196,"3130,3120,2370,3070,2760",FALSE,"Water"
"169",184,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Plasma Glucose","2015-04-15","fasted","14:30:00",34222,"114,65,54,31,20,20,20",FALSE,"Water"
"170",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Total Fat Mass","2015-04-14","fed",NA,34529,"1910",FALSE,"Water"
"171",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Lean Mass","2015-04-14","fed",NA,34530,"28050",FALSE,"Water"
"172",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Total Fat Mass","2015-04-07","fed","15:15:00",34742,"1870",FALSE,"Water"
"173",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Lean Mass","2015-04-07","fed","15:15:00",34743,"28480",FALSE,"Water"
"174",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Body Weight","2015-04-21","fed",NA,36513,"31000",FALSE,"Water"
"175",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Total Fat Mass","2015-04-21","fed",NA,36545,"1950",FALSE,"Water"
"176",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3040,191,8075,"C57BL/6J","Lean Mass","2015-04-21","fed",NA,36546,"28680",FALSE,"Water"
"177",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Body Weight","2015-03-11","fed","13:30:00",29268,"29500",FALSE,"Water"
"178",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Grip Strength (4 Paw)","2015-03-11","fed","13:30:00",29361,"2430,2370,1810,2230,1800",FALSE,"Water"
"179",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Grip Strength (4 Paw)","2015-03-17","fed","12:00:00",29989,"2120,2450,2450,2360,2110",FALSE,"Water"
"180",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Total Fat Mass","2015-03-17","fed","12:00:00",30074,"2640",FALSE,"Water"
"181",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Lean Mass","2015-03-17","fed","12:00:00",30075,"24740",FALSE,"Water"
"182",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Body Weight","2015-03-17","fed","12:00:00",30116,"28500",FALSE,"Water"
"183",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Body Weight","2015-03-24","fed","15:30:00",31252,"28900",FALSE,"Water"
"184",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Total Fat Mass","2015-03-24","fed","15:30:00",31307,"3120",FALSE,"Water"
"185",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Lean Mass","2015-03-24","fed","15:30:00",31308,"24890",FALSE,"Water"
"186",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Grip Strength (4 Paw)","2015-03-24","fed","15:30:00",31354,"2830,2850,2950,2560,2760",FALSE,"Water"
"187",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Body Weight","2015-03-31","fed","15:30:00",32242,"30200",FALSE,"Water"
"188",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Grip Strength (4 Paw)","2015-03-31","fed","15:30:00",32270,"2580,2950,2450,2850,1940",FALSE,"Water"
"189",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Total Fat Mass","2015-03-31","fed","15:30:00",32298,"4150",FALSE,"Water"
"190",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Lean Mass","2015-03-31","fed","15:30:00",32299,"25100",FALSE,"Water"
"191",177,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Plasma Glucose","2015-04-08","fasted","14:30:00",33716,"110,150,108,87,98,112,122,138,0",FALSE,"Water"
"192",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Body Weight","2015-04-07","fed",NA,34104,"29900",FALSE,"Water"
"193",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Grip Strength (4 Paw)","2015-04-07","fed",NA,34132,"2580,2390,1890,1940,2020",FALSE,"Water"
"194",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Body Weight","2015-04-14","fed",NA,34152,"29700",FALSE,"Water"
"195",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Grip Strength (4 Paw)","2015-04-14","fed",NA,34197,"2300,2980,2320,2610,2300",FALSE,"Water"
"196",184,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Plasma Glucose","2015-04-15","fasted","14:30:00",34220,"110,79,61,50,39,32,31,44,49",FALSE,"Water"
"197",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Total Fat Mass","2015-04-14","fed",NA,34533,"4210",FALSE,"Water"
"198",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Lean Mass","2015-04-14","fed",NA,34534,"24590",FALSE,"Water"
"199",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Total Fat Mass","2015-04-07","fed","15:15:00",34746,"3810",FALSE,"Water"
"200",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Lean Mass","2015-04-07","fed","15:15:00",34747,"25140",FALSE,"Water"
"201",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Body Weight","2015-04-21","fed",NA,36514,"30000",FALSE,"Water"
"202",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Total Fat Mass","2015-04-21","fed",NA,36543,"4080",FALSE,"Water"
"203",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3041,191,8076,"C57BL/6J","Lean Mass","2015-04-21","fed",NA,36544,"24960",FALSE,"Water"
"204",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Body Weight","2015-03-11","fed","13:30:00",29271,"28200",FALSE,"Water"
"205",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Grip Strength (4 Paw)","2015-03-11","fed","13:30:00",29362,"2660,3410,3180,2290,2850",FALSE,"Water"
"206",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Total Fat Mass","2015-03-11","fed","13:30:00",29523,"1830",FALSE,"Water"
"207",149,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Lean Mass","2015-03-11","fed","13:30:00",29525,"25680",FALSE,"Water"
"208",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Grip Strength (4 Paw)","2015-03-17","fed","12:00:00",29988,"2290,2390,1980,1660,2560",FALSE,"Water"
"209",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Total Fat Mass","2015-03-17","fed","12:00:00",30076,"1750",FALSE,"Water"
"210",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Lean Mass","2015-03-17","fed","12:00:00",30077,"26350",FALSE,"Water"
"211",155,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Body Weight","2015-03-17","fed","12:00:00",30115,"28700",FALSE,"Water"
"212",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Body Weight","2015-03-24","fed","15:30:00",31253,"29100",FALSE,"Water"
"213",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Total Fat Mass","2015-03-24","fed","15:30:00",31309,"1580",FALSE,"Water"
"214",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Lean Mass","2015-03-24","fed","15:30:00",31310,"26930",FALSE,"Water"
"215",162,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Grip Strength (4 Paw)","2015-03-24","fed","15:30:00",31352,"2270,1990,1950,2120,1540",FALSE,"Water"
"216",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Body Weight","2015-03-31","fed","15:30:00",32243,"29200",FALSE,"Water"
"217",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Grip Strength (4 Paw)","2015-03-31","fed","15:30:00",32271,"2760,3480,2620,2660,3400",FALSE,"Water"
"218",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Total Fat Mass","2015-03-31","fed","15:30:00",32294,"1570",FALSE,"Water"
"219",169,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Lean Mass","2015-03-31","fed","15:30:00",32295,"26830",FALSE,"Water"
"220",177,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Plasma Glucose","2015-04-08","fasted","14:30:00",33717,"147,195,146,116,114,110,84,75,0",FALSE,"Water"
"221",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Body Weight","2015-04-07","fed",NA,34105,"29100",FALSE,"Water"
"222",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Grip Strength (4 Paw)","2015-04-07","fed",NA,34133,"2980,2630,2370,2910,2680",FALSE,"Water"
"223",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Body Weight","2015-04-14","fed",NA,34153,"29500",FALSE,"Water"
"224",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Grip Strength (4 Paw)","2015-04-14","fed",NA,34198,"3230,2520,3100,2810,2580",FALSE,"Water"
"225",184,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Plasma Glucose","2015-04-15","fasted","14:30:00",34221,"147,48,49,30,30,38,65,67,76",FALSE,"Water"
"226",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Total Fat Mass","2015-04-14","fed",NA,34531,"1620",FALSE,"Water"
"227",183,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Lean Mass","2015-04-14","fed",NA,34532,"26650",FALSE,"Water"
"228",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Total Fat Mass","2015-04-07","fed","15:15:00",34744,"1890",FALSE,"Water"
"229",176,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Lean Mass","2015-04-07","fed","15:15:00",34745,"26440",FALSE,"Water"
"230",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Body Weight","2015-04-21","fed",NA,36515,"29800",FALSE,"Water"
"231",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Total Fat Mass","2015-04-21","fed",NA,36547,"2130",FALSE,"Water"
"232",190,FALSE,"C57BL/6J","Sacrificed","2015-04-22","M","+/+",3042,191,8077,"C57BL/6J","Lean Mass","2015-04-21","fed",NA,36548,"26870",FALSE,"Water"
"233",149,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Body Weight","2015-03-11","fed","13:30:00",29274,"29700",FALSE,"Water"
"234",149,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Grip Strength (4 Paw)","2015-03-11","fed","13:30:00",29363,"2620,2140,2090,2660,2350",FALSE,"Water"
"235",149,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Total Fat Mass","2015-03-11","fed","13:30:00",29535,"2260",FALSE,"Water"
"236",149,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Lean Mass","2015-03-11","fed","13:30:00",29537,"26970",FALSE,"Water"
"237",155,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Grip Strength (4 Paw)","2015-03-17","fed","12:00:00",29992,"2120,2180,2320,2010,2390",FALSE,"Water"
"238",155,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Total Fat Mass","2015-03-17","fed","12:00:00",30078,"1430",FALSE,"Water"
"239",155,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Lean Mass","2015-03-17","fed","12:00:00",30079,"26810",FALSE,"Water"
"240",155,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Body Weight","2015-03-17","fed","12:00:00",30119,"29200",FALSE,"Water"
"241",162,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Body Weight","2015-03-24","fed","15:30:00",31254,"30700",FALSE,"Water"
"242",162,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Total Fat Mass","2015-03-24","fed","15:30:00",31312,"1730",FALSE,"Water"
"243",162,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Lean Mass","2015-03-24","fed","15:30:00",31313,"28270",FALSE,"Water"
"244",162,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Grip Strength (4 Paw)","2015-03-24","fed","15:30:00",31458,"2810,2960,2310,2800,2560",FALSE,"Water"
"245",169,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Body Weight","2015-03-31","fed","15:30:00",32244,"31400",FALSE,"Water"
"246",169,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Grip Strength (4 Paw)","2015-03-31","fed","15:30:00",32272,"2550,2520,3200,2640,2710",FALSE,"Water"
"247",169,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Total Fat Mass","2015-03-31","fed","15:30:00",32308,"1960",FALSE,"Water"
"248",169,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Lean Mass","2015-03-31","fed","15:30:00",32310,"28970",FALSE,"Water"
"249",177,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Plasma Glucose","2015-04-08","fasted","14:30:00",33961,"96,56,56,49,47,51,58,52,0",FALSE,"Water"
"250",176,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Body Weight","2015-04-07","fed",NA,34106,"29800",FALSE,"Water"
"251",176,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Grip Strength (4 Paw)","2015-04-07","fed",NA,34134,"2330,2290,2860,2490,2000",FALSE,"Water"
"252",183,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Body Weight","2015-04-14","fed",NA,34154,"30800",FALSE,"Water"
"253",183,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Grip Strength (4 Paw)","2015-04-14","fed",NA,34199,"3250,2540,2430,2550,2800",FALSE,"Water"
"254",184,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Plasma Glucose","2015-04-15","fasted","14:30:00",34223,"96,114,121,117,126,119,130,124,114",FALSE,"Water"
"255",183,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Total Fat Mass","2015-04-14","fed",NA,34539,"1960",FALSE,"Water"
"256",183,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Lean Mass","2015-04-14","fed",NA,34540,"28010",FALSE,"Water"
"257",176,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Total Fat Mass","2015-04-07","fed","15:15:00",34750,"1800",FALSE,"Water"
"258",176,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Lean Mass","2015-04-07","fed","15:15:00",34751,"27420",FALSE,"Water"
"259",190,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Body Weight","2015-04-21","fed",NA,36516,"30700",FALSE,"Water"
"260",190,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Total Fat Mass","2015-04-21","fed",NA,36549,"2310",FALSE,"Water"
"261",190,TRUE,"C57BL/6J","",NA,"M","+/+",3043,200,8078,"C57BL/6J","Lean Mass","2015-04-21","fed",NA,36550,"28160",FALSE,"Water"
"262",149,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Body Weight","2015-03-11","fed","13:30:00",29272,"26900",FALSE,"Water"
"263",149,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Grip Strength (4 Paw)","2015-03-11","fed","13:30:00",29364,"2330,2150,2430,2330,1960",FALSE,"Water"
"264",149,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Total Fat Mass","2015-03-11","fed","13:30:00",29527,"2690",FALSE,"Water"
"265",149,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Total Fat Mass","2015-03-11","fed","13:30:00",29529,"23690",FALSE,"Water"
"266",155,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Grip Strength (4 Paw)","2015-03-17","fed","12:00:00",29994,"1270,1530,2080,1890,2430",FALSE,"Water"
"267",155,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Total Fat Mass","2015-03-17","fed","12:00:00",30080,"1980",FALSE,"Water"
"268",155,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Lean Mass","2015-03-17","fed","12:00:00",30081,"23780",FALSE,"Water"
"269",155,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Body Weight","2015-03-17","fed","12:00:00",30121,"26600",FALSE,"Water"
"270",162,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Body Weight","2015-03-24","fed","15:30:00",31255,"28100",FALSE,"Water"
"271",162,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Total Fat Mass","2015-03-24","fed","15:30:00",31314,"2990",FALSE,"Water"
"272",162,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Lean Mass","2015-03-24","fed","15:30:00",31315,"24180",FALSE,"Water"
"273",162,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Grip Strength (4 Paw)","2015-03-24","fed","15:30:00",31459,"1950,2140,2160,1970,2210",FALSE,"Water"
"274",169,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Body Weight","2015-03-31","fed","15:30:00",32245,"28900",FALSE,"Water"
"275",169,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Grip Strength (4 Paw)","2015-03-31","fed","15:30:00",32273,"2750,2890,2050,2600,2250",FALSE,"Water"
"276",169,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Total Fat Mass","2015-03-31","fed","15:30:00",32300,"3370",FALSE,"Water"
"277",169,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Lean Mass","2015-03-31","fed","15:30:00",32301,"24940",FALSE,"Water"
"278",177,TRUE,"C57BL/6J","",NA,"M","+/+",3044,200,8079,"C57BL/6J","Plasma Glucose","2015-04-08","fasted","14:30:00",33960,"183,112,98,77,68,71,75,75,0",FALSE,"Water"
