peak	seqnames	start	end	annotation	distanceToTSS	SYMBOL	GENENAME
chr11:115209395-115209895	chr11	115209395	115209895	Intron (ENSMUST00000061450.6/320534, intron 8 of 9)	-21536	Nat9	N-acetyltransferase 9 (GCN5-related, putative)
chr12:4672390-4672890	chr12	4672390	4672890	Exon (ENSMUST00000062580.7/20403, exon 27 of 39)	7855	Itsn2	intersectin 2
chr12:6967928-6968428	chr12	6967928	6968428	Distal Intergenic	411902	1700101O22Rik	RIKEN cDNA 1700101O22 gene
chr12:9047025-9047525	chr12	9047025	9047525	Distal Intergenic	16997	Ttc32	tetratricopeptide repeat domain 32
chr12:9689238-9689738	chr12	9689238	9689738	Distal Intergenic	114797	Osr1	odd-skipped related transcription factor 1
chr12:10874194-10874694	chr12	10874194	10874694	Distal Intergenic	-173119	7420701I03Rik	RIKEN cDNA 7420701I03 gene
chr12:11392074-11392574	chr12	11392074	11392574	Intron (ENSMUST00000220506.1/26950, intron 1 of 3)	43066	Vsnl1	visinin-like 1
chr12:13448808-13449308	chr12	13448808	13449308	Intron (ENSMUST00000042953.9/71169, intron 38 of 51)	-37814	Nbas	neuroblastoma amplified sequence
chr12:13474728-13475228	chr12	13474728	13475228	Intron (ENSMUST00000042953.9/71169, intron 42 of 51)	-11894	Nbas	neuroblastoma amplified sequence
chr12:14774835-14775335	chr12	14774835	14775335	Distal Intergenic	275054	4930448C13Rik	RIKEN cDNA 4930448C13 gene
chr12:15619232-15619732	chr12	15619232	15619732	Intron (ENSMUST00000222542.1/ENSMUST00000222542.1, intron 1 of 4)	181369	Mir6387	microRNA 6387
chr12:20928136-20928636	chr12	20928136	20928636	Distal Intergenic	-61823	Asap2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
chr12:24734983-24735483	chr12	24734983	24735483	Distal Intergenic	25954	Rrm2	ribonucleotide reductase M2
chr12:25790994-25791494	chr12	25790994	25791494	Distal Intergenic	419011	Gm29687	predicted gene, 29687
chr12:26976342-26976842	chr12	26976342	26976842	Distal Intergenic	138153	Gm20187	predicted gene, 20187
chr12:33455310-33455810	chr12	33455310	33455810	Distal Intergenic	25241	Polr1f	RNA polymerase I subunit F
chr12:34295962-34296462	chr12	34295962	34296462	Intron (ENSMUST00000209902.1/79221, intron 13 of 24)	140845	Hdac9	histone deacetylase 9
chr12:34926033-34926533	chr12	34926033	34926533	Distal Intergenic	-8938	Hdac9	histone deacetylase 9
chr12:35357943-35358443	chr12	35357943	35358443	Distal Intergenic	-163046	Mir680-3	microRNA 680-3
chr12:36509871-36510371	chr12	36509871	36510371	Intron (ENSMUST00000221452.1/75847, intron 6 of 9)	127691	Crppa	CDP-L-ribitol pyrophosphorylase A
chr12:40574960-40575460	chr12	40574960	40575460	Intron (ENSMUST00000037488.7/238130, intron 1 of 52)	128624	Dock4	dedicator of cytokinesis 4
chr12:45659504-45660004	chr12	45659504	45660004	Distal Intergenic	-584795	Stxbp6	syntaxin binding protein 6 (amisyn)
chr12:49034632-49035132	chr12	49034632	49035132	Distal Intergenic	-347528	Foxg1	forkhead box G1
chr12:51678519-51679019	chr12	51678519	51679019	Intron (ENSMUST00000013130.14/94186, intron 1 of 17)	-12014	Ap4s1	adaptor-related protein complex AP-4, sigma 1
chr12:54679857-54680357	chr12	54679857	54680357	Intron (ENSMUST00000161592.7/66266, intron 4 of 5)	15464	Eapp	E2F-associated phosphoprotein
chr12:58591152-58591652	chr12	58591152	58591652	Distal Intergenic	-321862	Clec14a	C-type lectin domain family 14, member a
chr12:59077909-59078409	chr12	59077909	59078409	Distal Intergenic	10945	Pnn	pinin
chr12:64876248-64876748	chr12	64876248	64876748	Distal Intergenic	-41158	Gm527	predicted gene 527
chr12:65615075-65615575	chr12	65615075	65615575	Distal Intergenic	389007	Wdr20rt	WD repeat domain 20, retrogene
chr12:70044204-70044704	chr12	70044204	70044704	Exon (ENSMUST00000085314.10/18080, exon 16 of 29)	6580	Nin	ninein
chr12:70300704-70301204	chr12	70300704	70301204	Intron (ENSMUST00000110522.9/94090, intron 1 of 13)	15051	Trim9	tripartite motif-containing 9
chr12:70553719-70554219	chr12	70553719	70554219	Distal Intergenic	93878	Tmx1	thioredoxin-related transmembrane protein 1
chr12:72056736-72057236	chr12	72056736	72057236	Distal Intergenic	13889	Gpr135	G protein-coupled receptor 135
chr12:73252268-73252768	chr12	73252268	73252768	Intron (ENSMUST00000189644.6/17420, intron 6 of 6)	29903	Trmt5	TRM5 tRNA methyltransferase 5
chr12:73635950-73636450	chr12	73635950	73636450	Intron (ENSMUST00000221153.1/18755, intron 2 of 14)	51107	Prkch	protein kinase C, eta
chr12:73979040-73979540	chr12	73979040	73979540	Intron (ENSMUST00000021532.5/75627, intron 8 of 9)	7144	Snapc1	small nuclear RNA activating complex, polypeptide 1
chr12:74950988-74951488	chr12	74950988	74951488	Intron (ENSMUST00000042299.3/238271, intron 10 of 10)	225844	Kcnh5	potassium voltage-gated channel, subfamily H (eag-related), member 5
chr12:75528892-75529392	chr12	75528892	75529392	Intron (ENSMUST00000021447.8/26932, intron 2 of 13)	20282	Ppp2r5e	protein phosphatase 2, regulatory subunit B', epsilon
chr12:76466828-76467328	chr12	76466828	76467328	Distal Intergenic	22268	Ppp1r36dn	Ppp1r36 downstream neighbor
chr12:76479745-76480245	chr12	76479745	76480245	Distal Intergenic	35185	Ppp1r36dn	Ppp1r36 downstream neighbor
chr12:80291246-80291746	chr12	80291246	80291746	Distal Intergenic	-30875	Actn1	actinin, alpha 1
chr12:80504626-80505126	chr12	80504626	80505126	Promoter (2-3kb)	-2080	2310002D06Rik	RIKEN cDNA 2310002D06 gene
chr12:81971286-81971786	chr12	81971286	81971786	Promoter (1-2kb)	-1401	Pcnx1	pecanex 1
chr12:86999310-86999810	chr12	86999310	86999810	Distal Intergenic	-8880	Zdhhc22	zinc finger, DHHC-type containing 22
chr12:87031611-87032111	chr12	87031611	87032111	Intron (ENSMUST00000154801.7/217733, intron 1 of 25)	4995	Tmem63c	transmembrane protein 63c
chr12:89159522-89160022	chr12	89159522	89160022	Intron (ENSMUST00000167734.7/18191, intron 4 of 7)	-33084	Nrxn3	neurexin III
chr12:90931790-90932290	chr12	90931790	90932290	Intron (ENSMUST00000181184.1/ENSMUST00000181184.1, intron 1 of 4)	97788	Cep128	centrosomal protein 128
chr12:92152621-92153121	chr12	92152621	92153121	Distal Intergenic	-303464	Sel1l	sel-1 suppressor of lin-12-like (C. elegans)
chr12:93091279-93091779	chr12	93091279	93091779	Distal Intergenic	353044	4930559C10Rik	RIKEN cDNA 4930559C10 gene
chr12:95630857-95631357	chr12	95630857	95631357	Distal Intergenic	-60869	Flrt2	fibronectin leucine rich transmembrane protein 2
chr12:100992289-100992789	chr12	100992289	100992789	Exon (ENSMUST00000223029.1/ENSMUST00000223029.1, exon 4 of 5)	-9932	Ccdc88c	coiled-coil domain containing 88C
chr12:101417595-101418095	chr12	101417595	101418095	Exon (ENSMUST00000221965.1/271036, exon 3 of 5)	12843	Catsperb	cation channel sperm associated auxiliary subunit beta
chr12:105617428-105617928	chr12	105617428	105617928	Intron (ENSMUST00000221015.1/76559, intron 20 of 20)	5214	Atg2b	autophagy related 2B
chr12:108158993-108159493	chr12	108158993	108159493	Intron (ENSMUST00000071095.13/52690, intron 4 of 12)	3516	Setd3	SET domain containing 3
chr12:113210389-113210889	chr12	113210389	113210889	Distal Intergenic	24459	Tmem121	transmembrane protein 121
chr12:116109916-116110416	chr12	116109916	116110416	Exon (ENSMUST00000175871.7/ENSMUST00000175871.7, exon 2 of 4)	-26931	Vipr2	vasoactive intestinal peptide receptor 2
chr12:116293922-116294422	chr12	116293922	116294422	Intron (ENSMUST00000100986.3/52635, intron 1 of 21)	12671	Esyt2	extended synaptotagmin-like protein 2
chr12:119815734-119816234	chr12	119815734	119816234	Distal Intergenic	-129723	Tmem196	transmembrane protein 196
chr13:13774734-13775234	chr13	13774734	13775234	Intron (ENSMUST00000110559.2/17101, intron 50 of 52)	-8825	Gng4	guanine nucleotide binding protein (G protein), gamma 4
chr13:15802141-15802641	chr13	15802141	15802641	Promoter (<=1kb)	0	4933412O06Rik	RIKEN cDNA 4933412O06 gene
chr13:17585107-17585607	chr13	17585107	17585607	Intron (ENSMUST00000068545.5/192136, intron 6 of 13)	109129	Sugct	succinyl-CoA glutarate-CoA transferase
chr13:20097957-20098457	chr13	20097957	20098457	Intron (ENSMUST00000181429.7/140580, intron 1 of 6)	7338	Elmo1	engulfment and cell motility 1
chr13:20725521-20726021	chr13	20725521	20726021	Distal Intergenic	-68092	Aoah	acyloxyacyl hydrolase
chr13:20920149-20920649	chr13	20920149	20920649	Intron (ENSMUST00000021757.4/27052, intron 11 of 20)	-89984	Aoah	acyloxyacyl hydrolase
chr13:21253846-21254346	chr13	21253846	21254346	Distal Intergenic	38385	Gpx5	glutathione peroxidase 5
chr13:21275476-21275976	chr13	21275476	21275976	Distal Intergenic	16755	Gpx5	glutathione peroxidase 5
chr13:21907453-21907953	chr13	21907453	21907953	Distal Intergenic	-10404	Mir1983	microRNA 1983
chr13:22055676-22056176	chr13	22055676	22056176	Distal Intergenic	12462	H2bc11	H2B clustered histone 11
chr13:23401392-23401892	chr13	23401392	23401892	Distal Intergenic	21974	Abt1	activator of basal transcription 1
chr13:23463781-23464281	chr13	23463781	23464281	Promoter (1-2kb)	1128	Btn1a1	butyrophilin, subfamily 1, member A1
chr13:26565028-26565528	chr13	26565028	26565528	Distal Intergenic	204637	Hdgfl1	HDGF like 1
chr13:32927508-32928008	chr13	32927508	32928008	Distal Intergenic	-29297	Serpinb1c	serine (or cysteine) peptidase inhibitor, clade B, member 1c
chr13:32929067-32929567	chr13	32929067	32929567	Distal Intergenic	-30856	Serpinb1c	serine (or cysteine) peptidase inhibitor, clade B, member 1c
chr13:32957904-32958404	chr13	32957904	32958404	Distal Intergenic	-6805	Serpinb6b	serine (or cysteine) peptidase inhibitor, clade B, member 6b
chr13:34910637-34911137	chr13	34910637	34911137	Exon (ENSMUST00000021851.7/71864, exon 8 of 8)	5844	Fam217a	family with sequence similarity 217, member A
chr13:41051425-41051925	chr13	41051425	41051925	Exon (ENSMUST00000225084.1/17152, exon 5 of 14)	-11654	Mak	male germ cell-associated kinase
chr13:43351712-43352212	chr13	43351712	43352212	Distal Intergenic	-13284	Sirt5	sirtuin 5
chr13:45748787-45749287	chr13	45748787	45749287	Intron (ENSMUST00000091628.10/20238, intron 4 of 7)	123001	Atxn1	ataxin 1
chr13:51553235-51553735	chr13	51553235	51553735	Intron (ENSMUST00000021898.5/20418, intron 1 of 11)	13349	Shc3	src homology 2 domain-containing transforming protein C3
chr13:55801295-55801795	chr13	55801295	55801795	Intron (ENSMUST00000021961.11/76856, intron 3 of 7)	16716	Catsper3	cation channel, sperm associated 3
chr13:58295694-58296194	chr13	58295694	58296194	Exon (ENSMUST00000180452.7/ENSMUST00000180452.7, exon 6 of 7)	16955	Mir6369	microRNA 6369
chr13:59119807-59120307	chr13	59119807	59120307	Intron (ENSMUST00000225488.1/18212, intron 16 of 17)	248072	Ntrk2	neurotrophic tyrosine kinase, receptor, type 2
chr13:62997836-62998336	chr13	62997836	62998336	Intron (ENSMUST00000222181.1/72061, intron 1 of 1)	-16598	Aopep	aminopeptidase O
chr13:63242402-63242902	chr13	63242402	63242902	Promoter (2-3kb)	2294	Aopep	aminopeptidase O
chr13:64359188-64359688	chr13	64359188	64359688	3' UTR	7367	Ctsl	cathepsin L
chr13:67213927-67214427	chr13	67213927	67214427	Distal Intergenic	15542	Zfp458	zinc finger protein 458
chr13:67870751-67871251	chr13	67870751	67871251	Distal Intergenic	7425	BC048507	cDNA sequence BC048507
chr13:68807674-68808174	chr13	68807674	68808174	Intron (ENSMUST00000022013.7/210044, intron 3 of 24)	191367	Adcy2	adenylate cyclase 2
chr13:70369559-70370059	chr13	70369559	70370059	Distal Intergenic	136737	4930520P13Rik	RIKEN cDNA 4930520P13 gene
chr13:71373125-71373625	chr13	71373125	71373625	Distal Intergenic	266036	Mir466f-4	microRNA 466f-4
chr13:75914166-75914666	chr13	75914166	75914666	Promoter (<=1kb)	-716	Rhobtb3	Rho-related BTB domain containing 3
chr13:77777217-77777717	chr13	77777217	77777717	Intron (ENSMUST00000163257.8/68675, intron 4 of 10)	68433	Arb2a	ARB2 cotranscriptional regulator A
chr13:80535865-80536365	chr13	80535865	80536365	Distal Intergenic	-347019	Arrdc3	arrestin domain containing 3
chr13:81094366-81094866	chr13	81094366	81094866	Intron (ENSMUST00000181043.7/319983, intron 1 of 2)	43185	9330111N05Rik	RIKEN cDNA 9330111N05 gene
chr13:81836590-81837090	chr13	81836590	81837090	Distal Intergenic	44613	Cetn3	centrin 3
chr13:82585918-82586418	chr13	82585918	82586418	Distal Intergenic	111915	Mir3961	microRNA 3961
chr13:91880134-91880634	chr13	91880134	91880634	3' UTR	-3249	Ckmt2	creatine kinase, mitochondrial 2
chr13:94797486-94797986	chr13	94797486	94797986	Intron (ENSMUST00000046644.6/21371, intron 1 of 3)	8576	Tbca	tubulin cofactor A
chr13:96993462-96993962	chr13	96993462	96993962	Distal Intergenic	40371	1700029F12Rik	RIKEN cDNA 1700029F12 gene
chr13:99793812-99794312	chr13	99793812	99794312	Distal Intergenic	106329	Cartpt	CART prepropeptide
chr13:99830639-99831139	chr13	99830639	99831139	Distal Intergenic	69502	Cartpt	CART prepropeptide
chr13:104656540-104657040	chr13	104656540	104657040	Intron (ENSMUST00000022228.12/67285, intron 13 of 13)	-135444	Srek1ip1	splicing regulatory glutamine/lysine-rich protein 1interacting protein 1
chr13:105333433-105333933	chr13	105333433	105333933	Distal Intergenic	-38618	Rnf180	ring finger protein 180
chr13:107873159-107873659	chr13	107873159	107873659	Intron (ENSMUST00000225822.1/67263, intron 1 of 12)	16405	Zswim6	zinc finger SWIM-type containing 6
chr13:108636471-108636971	chr13	108636471	108636971	Intron (ENSMUST00000133929.7/238871, intron 1 of 3)	-17206	Pde4d	phosphodiesterase 4D, cAMP specific
chr13:109577900-109578400	chr13	109577900	109578400	Intron (ENSMUST00000122041.7/238871, intron 3 of 16)	-3005	Pde4d	phosphodiesterase 4D, cAMP specific
chr13:111518096-111518596	chr13	111518096	111518596	Intron (ENSMUST00000231096.1/73274, intron 1 of 7)	-27985	Gpbp1	GC-rich promoter binding protein 1
chr13:112827205-112827705	chr13	112827205	112827705	Intron (ENSMUST00000016144.11/19012, intron 1 of 5)	26342	Plpp1	phospholipid phosphatase 1
chr13:114060200-114060700	chr13	114060200	114060700	Intron (ENSMUST00000091201.6/218639, intron 4 of 4)	90892	A430090L17Rik	RIKEN cDNA A430090L17 gene
chr13:118910815-118911315	chr13	118910815	118911315	Distal Intergenic	196116	Fgf10	fibroblast growth factor 10
chr13:119268236-119268736	chr13	119268236	119268736	Distal Intergenic	140216	Nnt	nicotinamide nucleotide transhydrogenase
chr14:8030116-8030616	chr14	8030116	8030616	Intron (ENSMUST00000166497.8/66082, intron 2 of 8)	27150	Abhd6	abhydrolase domain containing 6
chr14:10070620-10071120	chr14	10070620	10071120	Intron (ENSMUST00000161302.7/14198, intron 2 of 6)	184594	Mnd1-ps	Mnd1 retrotransposed pseudogene
chr14:12668365-12668865	chr14	12668365	12668865	Intron (ENSMUST00000224882.1/27062, intron 3 of 28)	-121964	Cadps	Ca2+-dependent secretion activator
chr14:12722759-12723259	chr14	12722759	12723259	Intron (ENSMUST00000224882.1/27062, intron 1 of 28)	99786	Cadps	Ca2+-dependent secretion activator
chr14:12823288-12823788	chr14	12823288	12823788	Promoter (<=1kb)	-209	Cadps	Ca2+-dependent secretion activator
chr14:14724661-14725161	chr14	14724661	14725161	Intron (ENSMUST00000057015.7/218756, intron 1 of 24)	5836	Slc4a7	solute carrier family 4, sodium bicarbonate cotransporter, member 7
chr14:18029008-18029508	chr14	18029008	18029508	Intron (ENSMUST00000091471.11/21834, intron 8 of 9)	47479	Thrb	thyroid hormone receptor beta
chr14:18226130-18226630	chr14	18226130	18226630	Intron (ENSMUST00000090543.5/353187, intron 1 of 7)	12381	Nr1d2	nuclear receptor subfamily 1, group D, member 2
chr14:18342669-18343169	chr14	18342669	18343169	Distal Intergenic	-10810	Ube2e1	ubiquitin-conjugating enzyme E2E 1
chr14:19990289-19990789	chr14	19990289	19990789	Distal Intergenic	-12662	Gng2	guanine nucleotide binding protein (G protein), gamma 2
chr14:25002021-25002521	chr14	25002021	25002521	Distal Intergenic	-106863	Gm32123	predicted gene, 32123
chr14:29455675-29456175	chr14	29455675	29456175	Intron (ENSMUST00000022567.8/12294, intron 4 of 37)	-94841	Cacna2d3	calcium channel, voltage-dependent, alpha2/delta subunit 3
chr14:29530556-29531056	chr14	29530556	29531056	Intron (ENSMUST00000022567.8/12294, intron 3 of 37)	-169722	Cacna2d3	calcium channel, voltage-dependent, alpha2/delta subunit 3
chr14:32860013-32860513	chr14	32860013	32860513	Intron (ENSMUST00000053175.12/320736, intron 1 of 7)	3257	Vstm4	V-set and transmembrane domain containing 4
chr14:35074543-35075043	chr14	35074543	35075043	Intron (ENSMUST00000043349.6/14803, intron 4 of 15)	179934	Mir346	microRNA 346
chr14:35287825-35288325	chr14	35287825	35288325	Intron (ENSMUST00000043349.6/14803, intron 5 of 15)	-162023	Grid1	glutamate receptor, ionotropic, delta 1
chr14:35430659-35431159	chr14	35430659	35431159	Intron (ENSMUST00000043349.6/14803, intron 8 of 15)	-19189	Grid1	glutamate receptor, ionotropic, delta 1
chr14:35560752-35561252	chr14	35560752	35561252	Intron (ENSMUST00000043349.6/14803, intron 13 of 15)	-8742	Grid1	glutamate receptor, ionotropic, delta 1
chr14:36155913-36156413	chr14	36155913	36156413	Distal Intergenic	60944	4930474N05Rik	RIKEN cDNA 4930474N05 gene
chr14:37165011-37165511	chr14	37165011	37165511	Distal Intergenic	-29739	Ghitm	growth hormone inducible transmembrane protein
chr14:47064616-47065116	chr14	47064616	47065116	Intron (ENSMUST00000022386.14/74480, intron 5 of 12)	-3858	Samd4	sterile alpha motif domain containing 4
chr14:47863092-47863592	chr14	47863092	47863592	Distal Intergenic	-35259	4930447J18Rik	RIKEN cDNA 4930447J18 gene
chr14:48741150-48741650	chr14	48741150	48741650	Intron (ENSMUST00000228153.1/606497, intron 2 of 4)	-67331	Otx2	orthodenticle homeobox 2
chr14:49405599-49406099	chr14	49405599	49406099	Intron (ENSMUST00000138884.7/75288, intron 1 of 8)	-91390	Slc35f4	solute carrier family 35, member F4
chr14:54116457-54116957	chr14	54116457	54116957	Intron (ENSMUST00000198124.4/ENSMUST00000198124.4, intron 1 of 2)	136957	Dad1	defender against cell death 1
chr14:56306310-56306810	chr14	56306310	56306810	Distal Intergenic	-44050	Gzmb	granzyme B
chr14:68806921-68807421	chr14	68806921	68807421	Distal Intergenic	-151079	Adam28	a disintegrin and metallopeptidase domain 28
chr14:75645421-75645921	chr14	75645421	75645921	Intron (ENSMUST00000238633.1/75272, intron 1 of 13)	3162	Erich6b	glutamate rich 6B
chr14:78066047-78066547	chr14	78066047	78066547	Distal Intergenic	22434	Fam216b	family with sequence similarity 216, member B
chr14:82313576-82314076	chr14	82313576	82314076	Distal Intergenic	1761214	Gm32455	predicted gene, 32455
chr14:87638052-87638552	chr14	87638052	87638552	Distal Intergenic	98953	Tdrd3	tudor domain containing 3
chr14:92963167-92963667	chr14	92963167	92963667	Distal Intergenic	922081	Pcdh9	protocadherin 9
chr14:93040703-93041203	chr14	93040703	93041203	Intron (ENSMUST00000195826.5/211712, intron 4 of 4)	844545	Pcdh9	protocadherin 9
chr14:96233647-96234147	chr14	96233647	96234147	Intron (ENSMUST00000022666.8/93688, intron 6 of 10)	284955	Klhl1	kelch-like 1
chr14:103121669-103122169	chr14	103121669	103122169	Intron (ENSMUST00000161008.7/105689, intron 24 of 27)	-6273	Mycbp2	MYC binding protein 2, E3 ubiquitin protein ligase
chr14:103234522-103235022	chr14	103234522	103235022	Intron (ENSMUST00000160758.7/105689, intron 26 of 82)	40773	Mycbp2	MYC binding protein 2, E3 ubiquitin protein ligase
chr14:103494657-103495157	chr14	103494657	103495157	Intron (ENSMUST00000227693.1/ENSMUST00000227693.1, intron 1 of 2)	-18185	Scel	sciellin
chr14:103775218-103775718	chr14	103775218	103775718	Distal Intergenic	67977	Ednrb	endothelin receptor type B
chr14:103795375-103795875	chr14	103795375	103795875	Distal Intergenic	47820	Ednrb	endothelin receptor type B
chr14:103888608-103889108	chr14	103888608	103889108	Distal Intergenic	-44206	Ednrb	endothelin receptor type B
chr14:105162289-105162789	chr14	105162289	105162789	Intron (ENSMUST00000163545.7/74213, intron 1 of 21)	14071	Rbm26	RNA binding motif protein 26
chr14:105988554-105989054	chr14	105988554	105989054	Distal Intergenic	-91735	Spry2	sprouty RTK signaling antagonist 2
chr14:106011404-106011904	chr14	106011404	106011904	Distal Intergenic	-94294	Trim52	tripartite motif-containing 52
chr14:106219128-106219628	chr14	106219128	106219628	Distal Intergenic	112929	Trim52	tripartite motif-containing 52
chr14:109610657-109611157	chr14	109610657	109611157	Distal Intergenic	-696499	Slitrk1	SLIT and NTRK-like family, member 1
chr14:111877796-111878296	chr14	111877796	111878296	Distal Intergenic	201947	Slitrk5	SLIT and NTRK-like family, member 5
chr14:112157198-112157698	chr14	112157198	112157698	Distal Intergenic	481349	Slitrk5	SLIT and NTRK-like family, member 5
chr14:114442805-114443305	chr14	114442805	114443305	Distal Intergenic	-388660	4930524C18Rik	RIKEN cDNA 4930524C18 gene
chr14:115989273-115989773	chr14	115989273	115989773	Intron (ENSMUST00000176912.7/103978, intron 7 of 7)	-579721	4930505G20Rik	RIKEN cDNA 4930505G20 gene
chr15:12875608-12876108	chr15	12875608	12876108	Promoter (2-3kb)	-2600	Drosha	drosha, ribonuclease type III
chr15:13859079-13859579	chr15	13859079	13859579	Distal Intergenic	-685404	Cdh6	cadherin 6
chr15:16810785-16811285	chr15	16810785	16811285	Intron (ENSMUST00000228307.1/12565, intron 2 of 11)	32684	Cdh9	cadherin 9
chr15:22176567-22177067	chr15	22176567	22177067	Distal Intergenic	-371955	Cdh18	cadherin 18
chr15:25546107-25546607	chr15	25546107	25546607	Intron (ENSMUST00000228618.1/ENSMUST00000228618.1, intron 3 of 5)	-75918	Myo10	myosin X
chr15:25645948-25646448	chr15	25645948	25646448	Intron (ENSMUST00000110457.7/17909, intron 1 of 40)	23399	Myo10	myosin X
chr15:25727065-25727565	chr15	25727065	25727565	Intron (ENSMUST00000110457.7/17909, intron 9 of 40)	13194	Myo10	myosin X
chr15:25760161-25760661	chr15	25760161	25760661	Promoter (1-2kb)	1376	Myo10	myosin X
chr15:31190392-31190892	chr15	31190392	31190892	Distal Intergenic	-33422	Dap	death-associated protein
chr15:33759652-33760152	chr15	33759652	33760152	Distal Intergenic	-71768	Tspyl5	testis-specific protein, Y-encoded-like 5
chr15:35774620-35775120	chr15	35774620	35775120	Intron (ENSMUST00000048646.8/666173, intron 36 of 61)	-59095	Vps13b	vacuolar protein sorting 13B
chr15:38710261-38710761	chr15	38710261	38710761	Distal Intergenic	17755	Gm45924	predicted gene, 45924
chr15:38920055-38920555	chr15	38920055	38920555	Distal Intergenic	-12589	Baalc	brain and acute leukemia, cytoplasmic
chr15:39949193-39949693	chr15	39949193	39949693	Distal Intergenic	-5199	Lrp12	low density lipoprotein-related protein 12
chr15:41158827-41159327	chr15	41158827	41159327	Distal Intergenic	-14160	4930555K19Rik	leucine rich repeat and sterile alpha motif containing 1 pseudogene
chr15:43717469-43717969	chr15	43717469	43717969	Distal Intergenic	152067	Tmem74	transmembrane protein 74
chr15:44561080-44561580	chr15	44561080	44561580	Intron (ENSMUST00000038336.11/192190, intron 56 of 76)	-30340	Pkhd1l1	polycystic kidney and hepatic disease 1-like 1
chr15:52303116-52303616	chr15	52303116	52303616	Intron (ENSMUST00000037240.2/239436, intron 1 of 7)	7563	Slc30a8	solute carrier family 30 (zinc transporter), member 8
chr15:52707250-52707750	chr15	52707250	52707750	Distal Intergenic	-4658	Med30	mediator complex subunit 30
chr15:53001636-53002136	chr15	53001636	53002136	Distal Intergenic	105732	Ext1	exostosin glycosyltransferase 1
chr15:64691630-64692130	chr15	64691630	64692130	Distal Intergenic	230141	Adcy8	adenylate cyclase 8
chr15:66732962-66733462	chr15	66732962	66733462	Promoter (2-3kb)	-2788	Tg	thyroglobulin
chr15:68457020-68457520	chr15	68457020	68457520	Distal Intergenic	-115731	Mir30d	microRNA 30d
chr15:69092394-69092894	chr15	69092394	69092894	Intron (ENSMUST00000022954.6/13992, intron 8 of 8)	162326	Khdrbs3	KH domain containing, RNA binding, signal transduction associated 3
chr15:71962074-71962574	chr15	71962074	71962574	Intron (ENSMUST00000159993.7/69700, intron 12 of 63)	-7675	Col22a1	collagen, type XXII, alpha 1
chr15:72651839-72652339	chr15	72651839	72652339	Intron (ENSMUST00000023276.15/76510, intron 20 of 21)	-105499	Kcnk9	potassium channel, subfamily K, member 9
chr15:72981600-72982100	chr15	72981600	72982100	Intron (ENSMUST00000023276.15/76510, intron 8 of 21)	73710	Trappc9	trafficking protein particle complex 9
chr15:82317755-82318255	chr15	82317755	82318255	Distal Intergenic	12667	Naga	N-acetyl galactosaminidase, alpha
chr15:84839533-84840033	chr15	84839533	84840033	Intron (ENSMUST00000016768.11/271305, intron 2 of 12)	15077	Phf21b	PHD finger protein 21B
chr15:86169761-86170261	chr15	86169761	86170261	Intron (ENSMUST00000044332.15/223753, intron 1 of 12)	-10293	Cerk	ceramide kinase
chr15:86294094-86294594	chr15	86294094	86294594	Intron (ENSMUST00000063414.8/223754, intron 5 of 12)	58589	Tbc1d22a	TBC1 domain family, member 22a
chr15:90935327-90935827	chr15	90935327	90935827	Exon (ENSMUST00000100304.10/16564, exon 36 of 37)	15479	Kif21a	kinesin family member 21A
chr15:91020425-91020925	chr15	91020425	91020925	Intron (ENSMUST00000100304.10/16564, intron 1 of 36)	28893	Kif21a	kinesin family member 21A
chr15:92165843-92166343	chr15	92165843	92166343	Intron (ENSMUST00000141187.7/12805, intron 1 of 8)	4486	Cntn1	contactin 1
chr15:97741255-97741755	chr15	97741255	97741755	Distal Intergenic	7117	Rapgef3	Rap guanine nucleotide exchange factor (GEF) 3
chr15:99931352-99931852	chr15	99931352	99931852	Promoter (<=1kb)	0	Fam186a	family with sequence similarity 186, member A
chr16:4508888-4509388	chr16	4508888	4509388	Intron (ENSMUST00000090500.9/106393, intron 1 of 5)	13675	Srl	sarcalumenin
chr16:7206101-7206601	chr16	7206101	7206601	Intron (ENSMUST00000230658.1/268859, intron 4 of 11)	12354	Rbfox1	RNA binding protein, fox-1 homolog (C. elegans) 1
chr16:12490715-12491215	chr16	12490715	12491215	Distal Intergenic	-309364	1700003L19Rik	RIKEN cDNA 1700003L19 gene
chr16:12810870-12811370	chr16	12810870	12811370	Promoter (<=1kb)	-20	1700003L19Rik	RIKEN cDNA 1700003L19 gene
chr16:12837663-12838163	chr16	12837663	12838163	Intron (ENSMUST00000190074.1/75493, intron 3 of 4)	26273	1700003L19Rik	RIKEN cDNA 1700003L19 gene
chr16:15932253-15932753	chr16	15932253	15932753	Intron (ENSMUST00000040248.8/224008, intron 11 of 19)	44967	Cebpd	CCAAT/enhancer binding protein delta
chr16:17336417-17336917	chr16	17336417	17336917	Exon (ENSMUST00000023450.14/15160, exon 2 of 5)	5034	Serpind1	serine (or cysteine) peptidase inhibitor, clade D, member 1
chr16:21219637-21220137	chr16	21219637	21220137	Promoter (1-2kb)	-1549	Ephb3	Eph receptor B3
chr16:23166860-23167360	chr16	23166860	23167360	Distal Intergenic	-7920	C730014E05Rik	RIKEN cDNA C730014E05 gene
